,count,atemp,humidity,temp,windspeed
2013-01-01 00:00:00,42.0,3.55,46.0,4.93,6.33
2013-01-01 01:00:00,111.0,3.41,49.0,4.59,5.58
2013-01-01 02:00:00,129.0,2.62,48.0,4.52,7.85
2013-01-01 03:00:00,58.0,4.68,48.0,4.68,4.68
2013-01-01 04:00:00,19.0,3.68,53.0,3.68,3.34
2013-01-01 05:00:00,5.0,4.17,51.0,4.17,3.76
2013-01-01 06:00:00,13.0,4.34,51.0,4.34,4.28
2013-01-01 07:00:00,5.0,3.58,51.0,4.49,4.87
2013-01-01 08:00:00,15.0,4.52,53.0,4.52,4.13
2013-01-01 09:00:00,32.0,4.75,55.00000000000001,4.75,2.4
2013-01-01 10:00:00,53.0,5.39,54.0,5.39,3.7
2013-01-01 11:00:00,114.0,4.71,54.0,5.87,6.1
2013-01-01 12:00:00,152.0,5.11,55.00000000000001,6.19,5.96
2013-01-01 13:00:00,141.0,5.09,55.00000000000001,6.47,7.17
2013-01-01 14:00:00,173.0,5.38,55.00000000000001,6.64,6.83
2013-01-01 15:00:00,160.0,5.1,55.00000000000001,6.63,7.85
2013-01-01 16:00:00,165.0,5.27,56.00000000000001,6.6,7.09
2013-01-01 17:00:00,140.0,5.39,57.99999999999999,6.29,5.51
2013-01-01 18:00:00,117.0,5.17,60.0,5.95,5.01
2013-01-01 19:00:00,109.0,4.17,60.0,5.7,7.26
2013-01-01 20:00:00,70.0,3.53,61.0,5.37,8.22
2013-01-01 21:00:00,56.0,3.1,62.0,5.06,8.5
2013-01-01 22:00:00,52.0,2.96,64.0,4.79,7.77
2013-01-01 23:00:00,33.0,2.9,64.0,4.47,6.72
2013-01-02 00:00:00,9.0,2.76,65.0,4.08,5.77
2013-01-02 01:00:00,8.0,2.16,64.0,3.73,6.33
2013-01-02 02:00:00,2.0,1.92,61.0,3.45,6.11
2013-01-02 03:00:00,3.0,1.53,60.0,2.98,5.72
2013-01-02 04:00:00,4.0,1.09,60.0,2.54,5.54
2013-01-02 05:00:00,29.0,0.73,59.0,2.24,5.57
2013-01-02 06:00:00,93.0,0.64,57.99999999999999,1.95,4.99
2013-01-02 07:00:00,245.0,-0.65,57.99999999999999,1.39,6.63
2013-01-02 08:00:00,491.0,-1.45,59.0,0.99,7.66
2013-01-02 09:00:00,229.0,-2.19,56.99999999999999,0.99,10.3
2013-01-02 10:00:00,127.0,-1.79,54.0,1.42,10.79
2013-01-02 11:00:00,145.0,-1.07,51.0,1.97,10.53
2013-01-02 12:00:00,168.0,-1.72,49.0,2.07,14.31
2013-01-02 13:00:00,164.0,-1.49,46.0,2.37,15.07
2013-01-02 14:00:00,131.0,-1.11,43.0,2.6,14.56
2013-01-02 15:00:00,194.0,-1.19,42.0,2.49,14.21
2013-01-02 16:00:00,267.0,-1.11,43.0,2.22,12.11
2013-01-02 17:00:00,446.0,-0.39,44.0,1.77,7.2
2013-01-02 18:00:00,364.0,-0.59,44.0,1.38,6.47
2013-01-02 19:00:00,241.0,-0.76,44.0,0.92,5.54
2013-01-02 20:00:00,122.0,-1.04,44.0,0.58,5.29
